0	165536.384209400	-0.0341854942262849 0.921710946690822 0.353915101368985 -0.154998012109173	-0.0421667662280576 0.937729326680005 0.322953711811385 -0.120774888687101	-0.045681987961991 0.944113249435626 0.308934530136083 -0.105464611626564	-0.0491750966633285 0.95004017334929 0.294765800566189 -0.090103283553803	-0.0517793974285274 0.954183736829638 0.28404519973152 -0.0785532614297301	-0.177174791664216 0.916025147467503 0.351590384089598 0.0767543107689049	-0.288185386882602 0.808594647704528 0.507350395248507 0.0756270780349145	-0.0587672915671466 0.925171831805333 0.37408753377304 -0.02572944133538	-0.162864133359496 0.93886687256281 -0.20450045441752 -0.224017485505519	-0.173405917252027 0.0527169517447533 0.903869933471833 0.387518327600579	-0.221379780313477 -0.500656055203402 0.801924866642296 0.239271844388891	-0.0734607754166547 0.955581388863631 0.285250887622644 -0.00998272723913457	0.329344690457043 0.79343171905608 0.345612177770771 0.377558478437466	0.684039461805358 0.210797979159275 0.664335332605382 -0.21520407181905	0.617809534222931 0.326933689093501 0.662345340710094 -0.26967460391848	-0.0109281969845991 0.879037625151997 0.45918712513739 -0.127752151394259	-0.0396556996944512 0.905468188667686 0.421569776693995 0.0288740051045869	-0.101040726127184 0.901148348340483 0.421027973751044 -0.0213979266753076	-0.101273618050135 0.900977218866566 0.42116690689065 -0.024538580045826	-0.0426825834959653 0.96456351853333 0.259446691021177 -0.0219733998023844	-0.0206649031859045 0.984348901455778 0.16562710006053 -0.0565496746644895	-0.0316920723078084 0.985249686239412 0.149184317147563 -0.0776061069452136	-0.0321544068198842 0.985207266510842 0.149161913486425 -0.0779965364703148
50	165536.453980000	-0.0334108347584001 0.924551323869354 0.347402072933038 -0.152971779665401	-0.0435991642610707 0.940811835852451 0.314377630734543 -0.118907138933762	-0.0480922307106549 0.947250053058152 0.299430568387385 -0.10366199420139	-0.0525604134196912 0.953198092918694 0.28432858138132 -0.0883632073150434	-0.0558938243907792 0.95733559085698 0.272905095656611 -0.0768586731484903	-0.176688197526841 0.919295129005544 0.343758729436612 0.074213762723116	-0.28188159952189 0.812308100527523 0.506505526904001 0.0644241017325777	-0.0578342049132757 0.928572207792761 0.365574411494337 -0.0276443360834566	-0.156075971825288 0.936865777135508 -0.216102399193754 -0.226324014885244	-0.169527778187161 0.0828347159831939 0.898015169099436 0.39745125275714	-0.226081140071386 -0.475225012805144 0.811434400323448 0.254209990519844	-0.076049474586656 0.95854762630333 0.274372412636703 -0.0110772156817504	0.330414562168176 0.79791096079761 0.340076891757762 0.37217203473478	0.676859751122778 0.209395741895902 0.670757276068152 -0.219314790170448	0.612212575222111 0.322347740371769 0.668370619461485 -0.273072173715661	-0.00965282414662233 0.883681006241744 0.451080221376261 -0.124664895125762	-0.0391474619170384 0.907709429838575 0.416849135627827 0.0277103831427242	-0.0939787876121349 0.904053007557484 0.416517855802357 -0.0192099662422281	-0.0981533822651145 0.903671479733988 0.416259027742704 -0.0217299813161909	-0.0422230823547758 0.965036734610178 0.25758380897397 -0.0239142953868054	-0.0218188203769763 0.985082208657078 0.161503932813612 -0.0552581301745405	-0.0304592024212071 0.985202934306575 0.145664279540825 -0.0850254837529914	-0.031183523306091 0.985577502385519 0.145454060591456 -0.0806702604631811
100	165536.486063900	-0.033397440297041 0.925673115804689 0.344970819826316 -0.151687267515784	-0.044197854735804 0.942100892748628 0.310759861975946 -0.11798629455866	-0.0489615598368306 0.948590236994964 0.295280846675704 -0.10290067795045	-0.0536992161366533 0.954574949286659 0.279644750437666 -0.0877603209505109	-0.057233845875071 0.958730407837939 0.267819543193592 -0.0763739763062266	-0.175815650883794 0.921293891018667 0.338958759334869 0.0735756939903338	-0.27863571962241 0.816053134974323 0.502675851115179 0.0611261429726363	-0.0577898216723886 0.930049480117327 0.361735589272059 -0.0285598406606234	-0.154771813995111 0.935294657617203 -0.220231146865293 -0.229712496342231	-0.17099632500174 0.0914509751208829 0.895729193360579 0.400082726629063	-0.231757833379984 -0.468607165303013 0.811920914301832 0.259769244162906	-0.0775209521319079 0.959915763545776 0.269115236200077 -0.0113674325099824	0.331920603780834 0.800136783027792 0.335835406632236 0.369897851958975	0.674301008561434 0.210715569005321 0.672134051541047 -0.221704568267805	0.610277319004262 0.321942577826619 0.66940871544379 -0.275329878834857	-0.00861332077205717 0.88535123028794 0.448055333013478 -0.123795913870731	-0.0394452019295165 0.908656805137726 0.414751852309523 0.0277089791847356	-0.0908677026670366 0.905166468481843 0.414727383976747 -0.0204431388961679	-0.0956612610872391 0.904836522245381 0.414327594299858 -0.021270536894373	-0.041901313822097 0.96474291694144 0.25872572295362 -0.0240080068608582	-0.0219825523668257 0.984994268337941 0.161919538943229 -0.0555438713203879	-0.0303240016142634 0.984782781442514 0.145922497812182 -0.0893865366411385	-0.0308800978514475 0.985321223238227 0.14567376848011 -0.0834725090662354
150	165536.549125900	-0.0342220673960782 0.927851738262709 0.339736616581512 -0.149996777497897	-0.0458954438207079 0.944409891518373 0.304019505706718 -0.116428970572612	-0.0510441087645849 0.950918845335977 0.287864650241826 -0.101399170048246	-0.056164409394846 0.956899316117169 0.271549850093912 -0.0863130166649048	-0.0599843031248592 0.961035858898436 0.259214179536246 -0.0749664619501308	-0.173911399318429 0.924841489742067 0.3300883937191 0.0739235846717684	-0.271370888811196 0.823872795023942 0.494150277004318 0.0583691876062657	-0.0578809147578751 0.93242184077064 0.355384877457917 -0.0306740840923414	-0.156847432098926 0.931048756127332 -0.227466313655898 -0.238340455880902	-0.1791992248084 0.0958030316450828 0.89333634334085 0.400823645288148	-0.243966341864503 -0.468779392596757 0.807213369487801 0.262931324178041	-0.0793900971499934 0.962145737139316 0.260457020531677 -0.0116160851804238	0.334673206979905 0.803967064244045 0.327265886888845 0.366780374910456	0.671880293620878 0.216219325370565 0.671343092529979 -0.226107334008663	0.608314344747492 0.325666977450972 0.668183031072084 -0.27825548468934	-0.0080690534467791 0.887383565804676 0.444411214726751 -0.122409026388352	-0.0405956271204517 0.910397067667982 0.410817527315003 0.027534223995316	-0.0866448858671165 0.907163707331691 0.411105054193007 -0.0232229685927809	-0.0908735158059547 0.906973941405388 0.410668454767113 -0.0221741740733029	-0.0421436115394725 0.965255134323649 0.25684470434333 -0.0231784278809453	-0.0219595928667072 0.984732409720623 0.16296654095226 -0.0571118556606107	-0.0308267603571686 0.984310334120173 0.146538122139281 -0.0933244649060927	-0.0307560199287194 0.984739349649491 0.146394902566807 -0.0889438755198858
200	165536.586224000	-0.0347916181180044 0.92883109953436 0.337097482085075 -0.149758537046892	-0.0469522283114227 0.945268903782124 0.301341611070049 -0.115997505304387	-0.0523162370115836 0.951716471182195 0.285169670079272 -0.100881262345082	-0.0576509233712692 0.957630733604008 0.268837876472853 -0.0857084900407002	-0.0616309051630172 0.961714418768242 0.256489717745354 -0.0742969242496526	-0.17347049360002 0.926492416399329 0.325616504762369 0.0741193768931997	-0.268768651829053 0.828907620684241 0.487247722181451 0.0571421507695568	-0.0582599292836048 0.933371590338699 0.352764830516647 -0.0313086144541437	-0.159353512218888 0.928755739457271 -0.230427154002222 -0.242739698580846	-0.181326039649015 0.0977644055889556 0.891874893261874 0.40264396569943	-0.249103876489886 -0.468886877373789 0.80418756144675 0.267160477912993	-0.0802604688094138 0.962983788203434 0.257081320392203 -0.0113875154997879	0.335967348669571 0.805558091065569 0.323548573994973 0.365401727982442	0.672410358471231 0.220156847490566 0.668982096316202 -0.227724015272841	0.608813691987318 0.329439520837581 0.665981062763755 -0.278001285247274	-0.0083412099811181 0.888192222996289 0.442991631418316 -0.1216692800928	-0.0412898892604983 0.910674360364454 0.410127922555114 0.0276123443458715	-0.0848812714223429 0.907694130908648 0.410272249593531 -0.0237321657078439	-0.0888049459970689 0.907524803898074 0.40987085638355 -0.0227660484852931	-0.0424797550597523 0.965646793724682 0.255297676536664 -0.0233417337463368	-0.0221053566359131 0.984884199195437 0.161934115880369 -0.0573742929996021	-0.0310831099246564 0.984561501286475 0.145015904135451 -0.0929670802473195	-0.0307703424193037 0.984812408458162 0.144955963189018 -0.0904736144418753
250	165536.652947600	-0.0357471563981402 0.93071843216729 0.332119488324497 -0.148936181999479	-0.0495854539861887 0.946527218824667 0.297552298000165 -0.114412135422105	-0.0556931082864804 0.952696449401829 0.281913083106 -0.0989584082340042	-0.0617696389285788 0.958333358693905 0.266116299662641 -0.0834493881041456	-0.066304574201619 0.962209780821425 0.254170676312014 -0.0717865477274187	-0.173668130257681 0.929260647787638 0.317240388465024 0.0753164320229117	-0.264039918699124 0.840475586601926 0.469965667012576 0.0549179523374009	-0.0600429398574104 0.935259538178884 0.347422822028239 -0.0313340765403069	-0.166255757380552 0.923878746255712 -0.234770697796823 -0.25236839106906	-0.182459767062651 0.102534672113631 0.888026638958987 0.409394385546747	-0.256389280475037 -0.468363466512258 0.797977147457765 0.279522221351509	-0.0822543604025454 0.964242194500028 0.25172313115426 -0.0103283968956805	0.335774670348256 0.806991120086911 0.319752738448251 0.365757965201358	0.674529007963875 0.228534920013492 0.663876590244252 -0.228145306055948	0.609249418898772 0.340328712622459 0.660489569237112 -0.277028954922084	-0.00848408202812079 0.890837192072556 0.437937872964142 -0.120613170906275	-0.042181349671036 0.912699524272071 0.405510941806028 0.027589639523798	-0.0820214536748881 0.909547045033499 0.406724381772745 -0.0239150847681239	-0.085126297234122 0.909398975598228 0.406434843978698 -0.0236163989658401	-0.0430050853855157 0.967261185051342 0.248907057461737 -0.0245283360584706	-0.0230246702987654 0.985684352927175 0.157111736408085 -0.0566755964680231	-0.0312071299678365 0.984869771383412 0.143072547956877 -0.0926708933564604	-0.0309353796608634 0.984947642521844 0.143069090461523 -0.0919368214069459
300	165536.685032600	-0.0361976097454817 0.931637059939748 0.329513758265722 -0.148871772707707	-0.049977185177762 0.947274816822913 0.295206371783418 -0.114131066906843	-0.0560585236140026 0.953370329588534 0.279685743448354 -0.098581648912002	-0.0621086482518977 0.958934995863956 0.26400937561864 -0.0829773409140915	-0.0666237299577989 0.962758248797382 0.252155158119796 -0.0712433099504023	-0.172883638061459 0.931476189417605 0.311295339920403 0.0745558018032972	-0.263482062971337 0.847635820892198 0.457693050587304 0.0510665162005965	-0.0601729545400121 0.936026634283263 0.34527388832232 -0.0319264388408571	-0.170110291644075 0.921121314185172 -0.236086675976998 -0.258575123816429	-0.183830747314645 0.101890548137053 0.88586471960748 0.413604002757265	-0.260080306556068 -0.470587882942146 0.793291733542611 0.285645766750866	-0.0826118095354432 0.964789922744426 0.249517435990221 -0.00983580362500506	0.335981755339064 0.80678919019283 0.318774055028808 0.366865867188226	0.674516788322673 0.23240629892548 0.662659078242523 -0.2278099218941	0.60835492412913 0.344598760245842 0.659522296892234 -0.276018696154556	-0.00826897667293805 0.892490568045037 0.434714864625102 -0.120063301842857	-0.0425797487881665 0.91361911216709 0.40338811996703 0.0276605774636063	-0.0809235188919818 0.910595118687412 0.404585380723022 -0.0240537651523486	-0.0835914027038997 0.910466826317685 0.404342074208714 -0.023877240074859	-0.0432995573472047 0.967906318441499 0.246254637342547 -0.0253211500894187	-0.0233793843973545 0.986198909989536 0.153950652424359 -0.0562522083012455	-0.0311484469727158 0.985322710345782 0.140258152857026 -0.0921769021239318	-0.0308682361940437 0.98533078828296 0.140279445545229 -0.0921524107849255
350	165536.752247100	-0.0368799944357162 0.933367382506533 0.324713866629056 -0.148411927088537	-0.0500712543086123 0.949086292554872 0.289544962063927 -0.113542035034648	-0.055890084585597 0.955199372599104 0.27364113846328 -0.0979335712195365	-0.0616771835703877 0.96077010517228 0.257581945976425 -0.0822695031045532	-0.0659947026614262 0.964590330933347 0.245441049497642 -0.0704903107669645	-0.170544571779774 0.935755770315424 0.299866208817837 0.0731843164008447	-0.262116503475754 0.858541848234254 0.438433684668412 0.0444605171386401	-0.0616554952322907 0.937132175740967 0.341915635030825 -0.0327960915373957	-0.176350097252906 0.918518976681403 -0.23196053663678 -0.267241168456913	-0.195452412044813 0.0977794188766631 0.881718818876311 0.418102217537016	-0.272850768948417 -0.475936764382079 0.783372294199201 0.292172043280762	-0.0834568334413743 0.966001091384257 0.244539271769702 -0.00879732679327163	0.338525784985455 0.808370652946455 0.31401996578481 0.36514194697872	0.673542965764928 0.238601960036272 0.661341448718473 -0.228115028313318	0.605676600249211 0.350684370331682 0.659374375176579 -0.274593812159208	-0.00759997497113879 0.895046517062049 0.429855944442456 -0.118565761090704	-0.0435137465434622 0.91513046966581 0.399827825260696 0.0279372063436622	-0.0791255771835007 0.912286265624498 0.401063295918737 -0.0249227858612378	-0.0811322408346666 0.912208560212633 0.400866380669369 -0.0244795224827176	-0.0437393316844021 0.968336535991771 0.244350616244022 -0.0265330033812034	-0.0245466120692859 0.986856938515778 0.150006690545434 -0.0548528899037355	-0.0307741496509531 0.985729739194168 0.136757116965284 -0.093205814951655	-0.0307205685219328 0.985794694790411 0.136739459228161 -0.0925601787096381
400	165536.785333500	-0.0370726070753361 0.933770156247743 0.323700468553536 -0.148043654926257	-0.0503688425972448 0.950183867232311 0.286258175665094 -0.112560450477756	-0.0562304795013733 0.956533883052289 0.26932457583433 -0.0966712811522359	-0.0620576019639046 0.962296672204534 0.252225701387319 -0.0807227617357315	-0.0664031390802728 0.966231262065632 0.239299373176616 -0.0687283153046891	-0.17012852634411 0.936923819788034 0.295807780280693 0.0756822143121543	-0.26133212023899 0.858805194901136 0.438029789879747 0.0478441565932641	-0.0627568156332122 0.93751672938811 0.340643880648608 -0.0329501257305121	-0.179044374650293 0.91788319360338 -0.228991514995201 -0.27017853517026	-0.203936050583184 0.0982294385906226 0.879527103900318 0.418560793877572	-0.280585183464694 -0.475610512656208 0.780495659406655 0.293075281657042	-0.0844035952244501 0.966405339087312 0.242615013537164 -0.00864343121020229	0.339747884459246 0.808491117753094 0.311963258783758 0.365502958522688	0.673739729083992 0.24155434574058 0.659942989169941 -0.228476533922222	0.605483004644605 0.35309037212152 0.658858206107403 -0.273172810591687	-0.00720623582463094 0.895515791741528 0.429060036383588 -0.117928037740391	-0.0441695061863634 0.915490674118982 0.398895570110238 0.0284289372093259	-0.0783499030005428 0.91281795433779 0.399978054504285 -0.0253422740365614	-0.0801350339902916 0.912756494839996 0.39979720764591 -0.0248223732409427	-0.0440257086520168 0.968245849556343 0.24467865284843 -0.0263451823846683	-0.0249550837156355 0.986822953348957 0.150244052441365 -0.0546299116454033	-0.0307769213606983 0.985753600391135 0.135547146366642 -0.0947079275421629	-0.0306709320024012 0.985901475304364 0.135506210803574 -0.0932504249665417
450	165536.852522200	-0.0378302506458 0.934386009708195 0.322338229768585 -0.146934416075094	-0.0534550061192878 0.950288060495278 0.285562613290015 -0.112023025721885	-0.0603495243330765 0.956422310721293 0.26892981264907 -0.0963901153430719	-0.0672074651566884 0.96197676192903 0.252134040315649 -0.0806987722946088	-0.0723244071852609 0.965760090833142 0.239436300348718 -0.0688976425908794	-0.1735464506442 0.932861456506247 0.304708948479112 0.0824838720635623	-0.256460530612141 0.846148130281392 0.462139207661253 0.0684740140613445	-0.0637502031462599 0.937697755994224 0.33984133318767 -0.0341569650208436	-0.179273696641377 0.917565436892427 -0.233923587986564 -0.266860198786625	-0.196946670808748 0.11601857941343 0.875164707360795 0.426425178757462	-0.280160751554516 -0.456181830402433 0.786933217807465 0.306829271110635	-0.0869768435505508 0.96649682464687 0.241332662818373 -0.00880127777625074	0.338915753223957 0.809074609329809 0.309202937983177 0.367325376059191	0.677349741470052 0.245794363166583 0.655066515886501 -0.227311061170168	0.608828110191113 0.35770248998274 0.654707379131252 -0.269695214292641	-0.00641925603194706 0.896133385258711 0.427890634801662 -0.117530224307574	-0.0458791584301516 0.916036332124975 0.397345264357825 0.0298208306587015	-0.0774866978890944 0.913520326345925 0.398552139843926 -0.0251518752562665	-0.0786376961224222 0.913463350590537 0.398454871441889 -0.0251899841344536	-0.0443479890134467 0.967696714858352 0.246869923176037 -0.025525770387463	-0.025491986189884 0.986438134654085 0.15275899771895 -0.0543567268713468	-0.0308936933537557 0.985058059862444 0.138541787039882 -0.0975313880491698	-0.0309472015173398 0.98529585360866 0.138459682741367 -0.0952011966048035
