0	170145.579023200	-0.0315790723178775 0.94921774118193 0.267328052955353 -0.162862377853565	-0.0248018965854447 0.962522515536474 0.222380636175928 -0.153238786425279	-0.0217702783152494 0.967715733806554 0.202230974418283 -0.148845377862905	-0.0187286108497282 0.972462380429381 0.181987984148252 -0.144383279540662	-0.0164416050605015 0.975727982838414 0.166750078111679 -0.140992867120518	-0.0790388417023808 0.969438760983717 0.228852212404889 0.039598170186122	-0.119827528979133 0.923634493282176 0.357226362104586 0.0702140465694468	-0.0702042505235127 0.941082714061713 0.305620272627573 -0.126613338403661	-0.578767427412245 0.78231566793744 -0.141082837441935 -0.18195080006843	0.203030092514916 -0.362688528610889 0.295546708104249 0.860167400031061	0.0417986333413193 -0.55484069771606 0.17066792374642 0.813189482355029	-0.0484627516781321 0.97151858028344 0.225856865912313 -0.0528364077516615	0.343969802112846 0.841760432739675 0.357204786389193 0.213374997806716	0.512945184650635 0.116553594173866 0.846646739384667 -0.0805716818627471	0.469051322645607 -0.0987615954865933 0.86568011868287 0.14434311933224	-0.0394483216239494 0.906835070938033 0.409797247351373 -0.0903338258965296	-0.0417090538086256 0.938490768356841 0.340481794996508 -0.0395926737582944	-0.079235472557049 0.937853502390262 0.336506333044397 -0.0302660827328838	-0.0603779998496838 0.934906867960021 0.340308700570168 -0.08058308564196	-0.0611101484274198 0.975332735123651 0.203290712354855 -0.0605350462595994	-0.0491248549202433 0.989326757217074 0.0964346965216038 -0.097568772618093	-0.0422710175862994 0.989348075557151 0.0947360683419144 -0.102120633657933	-0.0421721487780009 0.98929618047842 0.0947604488466163 -0.102640316117222
50	170145.644957300	-0.0317281568031747 0.949426014019233 0.266547959854149 -0.162897983618631	-0.0249768145942791 0.962693536989087 0.221642687470778 -0.153205194634175	-0.0219565806617006 0.96787123003482 0.201512619094517 -0.14878123195551	-0.0189262328756386 0.972603001233874 0.181289729172559 -0.144288716802594	-0.0166476684809195 0.975857883093731 0.166067195474308 -0.140875596627909	-0.0786580979162648 0.969643837022501 0.228348629707936 0.0382182713761953	-0.118576683390441 0.924144744042749 0.357120285692806 0.0660391078147978	-0.070309112780294 0.940909592968858 0.306007789902492 -0.126905472845807	-0.57693010788039 0.78424507429792 -0.139158641053949 -0.180959074601389	0.204335320105019 -0.369565162742056 0.294030321235504 0.857446696675171	0.0516228649944969 -0.574179521698394 0.158100128670043 0.801659095867114	-0.0483611718029415 0.971689742684239 0.225208737364262 -0.0525477462778167	0.347950724820093 0.84057044714563 0.354741535737708 0.215708273612812	0.513328804095187 0.119851272945547 0.846312443912856 -0.076710224467055	0.469407929267723 -0.0910917135961912 0.868207533640694 0.132567621175915	-0.0394234720308578 0.907011733124762 0.40944927646671 -0.0901487427973079	-0.0416428030317214 0.938551989244246 0.340302278245502 -0.0397542433238247	-0.0790973437604889 0.937934223747284 0.336322563714597 -0.0301684482540395	-0.0603614921079411 0.934976554878791 0.340117193806783 -0.0805954500855388	-0.0611303555939834 0.975629045219767 0.201815217313455 -0.0606767155442878	-0.0492012226923109 0.989471968215727 0.0946778506749456 -0.0977781590768078	-0.0422509185765608 0.989521278899853 0.0935246294314624 -0.101565949872704	-0.0421478446005406 0.98946464010689 0.0935508783492737 -0.102134804712943
100	170145.675044000	-0.0317168471309049 0.949628902320961 0.265922807287316 -0.162739208702741	-0.0249437926808239 0.96287026015754 0.220920112459649 -0.153143635916298	-0.0219138782170945 0.968034191434771 0.200746778472791 -0.148762619926886	-0.0188738411865491 0.9727508835709 0.180480723623871 -0.144312872021529	-0.0165880143759581 0.975993587443585 0.165225944963456 -0.140931693238238	-0.0781842662569271 0.969858442489652 0.227719000848727 0.0374950489247687	-0.117572041560852 0.924525331524277 0.356831837518389 0.0640372246930664	-0.0703381379431849 0.940930562193079 0.306034446210152 -0.126669417045108	-0.576411327477956 0.784908427902057 -0.13841361202062 -0.180306442954287	0.203738289475674 -0.374710298624244 0.297065848453838 0.854303683234983	0.0640975434117844 -0.580527069245983 0.160426956040614 0.795702845650804	-0.0480012974168533 0.971911075343282 0.22431717978418 -0.0525979079910524	0.352458098019873 0.839165958575977 0.352653770090127 0.217276555451103	0.512580726434888 0.123410217908082 0.846094017967096 -0.0784590961180259	0.469799007374724 -0.084015560865044 0.870542035556938 0.119945164682196	-0.03929536887742 0.907261810162906 0.408959014320514 -0.0899133272140865	-0.041560989818099 0.938676580746121 0.339959625775757 -0.0398298095214889	-0.0790535723342891 0.938035863127853 0.33604885656816 -0.0301731368340089	-0.0603377398007011 0.935076742140341 0.339841653586164 -0.080613236827273	-0.0610956373093884 0.97579451070579 0.201021338558827 -0.0606862210244176	-0.0492556449324433 0.989547015007934 0.0936004875377913 -0.0980282370741429	-0.04222466942634 0.989649429000521 0.0924563405519296 -0.101306021847294	-0.0421053965288977 0.989592251475578 0.0924844924379211 -0.101886849304223
150	170145.713139700	-0.0316246009462968 0.949858629776822 0.265279099260812 -0.162466819839801	-0.0248266751328694 0.963052643374447 0.220139116597987 -0.153140496390714	-0.0217857392787428 0.968193419165832 0.199904898087082 -0.148878864748651	-0.0187347054830581 0.972885681770967 0.179578005619766 -0.144548264995227	-0.0164406591203936 0.976109210234709 0.164277764113149 -0.14125625876627	-0.077544849933586 0.970114039195701 0.22699188446286 0.0366091736068814	-0.116294092863477 0.924984267989341 0.35640968705996 0.0620638615226703	-0.0704295650653649 0.940987156700149 0.305918476354496 -0.126478192250749	-0.575192867692817 0.786027721885831 -0.136123345541323 -0.181063580492937	0.203581303252277 -0.381473372397749 0.306074601568565 0.848145658122611	0.0827793090268951 -0.598741511155121 0.162550155137143 0.779893349043061	-0.0477058385952023 0.972156018781898 0.22335988023484 -0.0524136624510871	0.357867597909701 0.838328150034406 0.348835967646121 0.217830583028704	0.512607054685463 0.127311334914961 0.845246350839778 -0.081144549298801	0.469268783860943 -0.0728937557343735 0.874376533853224 0.0996944628122916	-0.0391235840605229 0.907689856611311 0.408070875361084 -0.0897030103019712	-0.0414380941669969 0.9388501020025 0.339478009267752 -0.0399756368968276	-0.0790132921785448 0.938188855920525 0.335631789080909 -0.0301640919636631	-0.0603018358253064 0.9352279829922 0.339425224951773 -0.0806400960495233	-0.0610266560825742 0.975887632894442 0.20061391377917 -0.0606063759786552	-0.0492868387500198 0.989578758816133 0.092910663351139 -0.0983478330295252	-0.0422739397046092 0.989738977794393 0.0918332672347275 -0.100976833409232	-0.0421214246793875 0.989678275419302 0.0918659913768573 -0.101603820668333
200	170145.775310300	-0.0313920120032576 0.950465607474977 0.263580196794288 -0.161725540492204	-0.0246115603503517 0.963541311193533 0.218227824575321 -0.152836609821375	-0.0215784821092315 0.968626685047018 0.197900019371775 -0.148769272557669	-0.0185353800866627 0.973261813687239 0.177480250701104 -0.144632784369044	-0.0162473200964048 0.976441392169197 0.162110732399438 -0.141486192574692	-0.0762405471980838 0.970692196778815 0.225168471188791 0.0352590081845307	-0.113596201845378 0.926080123982645 0.355034364987458 0.0584987740772817	-0.0698410980317436 0.941146719615168 0.305781600024195 -0.125947156656954	-0.57112640551735 0.789564674984063 -0.132452358811022 -0.181269483321208	0.202946435807276 -0.412348097687654 0.347394425347879 0.817373172892109	0.119657121078853 -0.662744553928943 0.189168841040932 0.71460966911446	-0.047342548319645 0.972709574278539 0.221043948504483 -0.0522909175193317	0.371251332040807 0.835701311173478 0.340262671172104 0.219082362520766	0.514953817879783 0.138354764542306 0.841152286400716 -0.0902405433401532	0.472244338215407 -0.0405105337547247 0.879384303773753 0.0450269691934885	-0.0386779149018861 0.908392816708211 0.406758963149464 -0.088733620174871	-0.041110489606216 0.938962858992878 0.339164512512492 -0.0403250607987479	-0.0790377778802009 0.938376880393205 0.335094870221729 -0.0302206545653804	-0.0602559993654073 0.935420722518337 0.338893693444499 -0.0806743513596195	-0.0609813575521119 0.976245868464914 0.198987640842893 -0.0602428180621231	-0.0493162845416607 0.989593712206331 0.0918096743333807 -0.0992127639948462	-0.0424797759473951 0.989927460530486 0.0907316439847983 -0.100034295633742	-0.0422311468408604 0.989846806944234 0.0907803668377087 -0.100889811257737
250	170145.842529400	-0.0307964471491921 0.951226086883703 0.261529364492933 -0.160695058986978	-0.024186347206139 0.964043506106884 0.216244975351103 -0.152555726137602	-0.0212295531284889 0.969022292441493 0.195950875834641 -0.148823241078253	-0.0182630135222579 0.973555986266064 0.175566818496454 -0.145022398910065	-0.0160325248921145 0.976662917807113 0.160225296640242 -0.14212796150873	-0.0750570705080349 0.971232659366104 0.223445677897733 0.033846514978959	-0.111238075444952 0.927161213709665 0.35343170564502 0.055535608473982	-0.0692669324443009 0.941604487683186 0.30449911917912 -0.125949860118148	-0.56693743251212 0.792152537854355 -0.12975277584725 -0.185041945372946	0.206587050122424 -0.467714694497012 0.411566205247752 0.754438873581715	-0.158439368864733 0.731877549483557 -0.255203945258374 -0.611656084152074	-0.045502745664295 0.97323263978136 0.218882109412698 -0.053276178356401	0.386983061361463 0.832135618356776 0.330509145667767 0.220359087652991	0.521348141332805 0.147038808471344 0.834543356458892 -0.100563862905536	0.47732352768687 0.00108141836538756 0.878242710149447 -0.0291688621690355	-0.0379721283571478 0.909113088784916 0.405622343621714 -0.0868448249627152	-0.0404606475227914 0.93890157232752 0.33933400354428 -0.0409781346763934	-0.0793722480679309 0.938346195830071 0.33508751301355 -0.0303779793645365	-0.0602577007519866 0.935413575556468 0.338913419865792 -0.0806730810098506	-0.0607561998512508 0.976754392832502 0.19654111857982 -0.0602588497188396	-0.0493560564750275 0.989715092178777 0.0895560045995078 -0.100038682733044	-0.0425496797678527 0.990236494454925 0.0883128639053311 -0.0991062453638128	-0.0422823033917747 0.990148983623276 0.088365827278804 -0.100043378686513
300	170145.876620000	-0.0304106516452841 0.951652548507825 0.260333748944651 -0.160184138869913	-0.0238867593575081 0.964357252994111 0.215038966195207 -0.152324503421955	-0.0209685762391497 0.969288025567684 0.19474168103437 -0.148716912183891	-0.0180408003893451 0.973775025919179 0.174355293075089 -0.145041236185146	-0.015839470488215 0.976847818062207 0.159012590400499 -0.142240808546218	-0.0744787862942607 0.971507986826105 0.222511474613527 0.0333734264128965	-0.110271136969215 0.927549743624514 0.352902782221047 0.0543265658242665	-0.0688193432626356 0.941931090440638 0.303708625417368 -0.125661408957975	-0.564165446472672 0.79389990490017 -0.126858932984972 -0.188008247499162	0.2093921454225 -0.495251575494821 0.443436584463702 0.717108640280136	-0.157799214366841 0.758459690870214 -0.287019993278625 -0.563433961284377	-0.04395515074684 0.973425593105582 0.218076455068293 -0.0543435290969933	0.396368613183672 0.82885607388929 0.326192428335133 0.222459054561763	0.522920843345446 0.151585918988919 0.831762047426923 -0.108385410546561	0.479809655070585 0.0200011927481528 0.87488286436905 -0.0629493512524508	-0.0376038869162688 0.90946327498402 0.405168172432537 -0.0854473591856828	-0.0400101996761673 0.938875762643128 0.339400873445245 -0.0414551968727892	-0.0795655063642258 0.938329928152766 0.335075261236955 -0.0305097596977681	-0.0602578376406149 0.935413001919224 0.338915002759851 -0.0806729802823359	-0.0606027654186294 0.977001742818024 0.195348068698669 -0.0602829280133189	-0.0494498172334844 0.989777082359205 0.0884060477693042 -0.100401262591092	-0.0425710178603194 0.990336138400387 0.0875575923888054 -0.0987709948903104	-0.0423346039796931 0.990255801543594 0.0876053923122219 -0.0996319429347711
350	170145.942614100	-0.0296093734417936 0.952522252788087 0.258146601632189 -0.158697747348989	-0.0232569678634162 0.965152642356642 0.21211632096698 -0.151479889019057	-0.0204150775854152 0.970033261387621 0.191490482697448 -0.148155632512491	-0.0175636247450084 0.974459544529897 0.170774952877124 -0.14476197922873	-0.0154195638066729 0.977479846538937 0.155185258712513 -0.142172156699399	-0.0732007586644348 0.972266476999309 0.21970335446056 0.0327105896168207	-0.10834163151326 0.928352452341614 0.351723079619413 0.0521026906732468	-0.0676479482859787 0.942844668158134 0.301113487382988 -0.125691505419142	-0.564547864275174 0.793934354677829 -0.128100006887962 -0.185861070802745	0.211968367780807 -0.553862811517967 0.526481127000693 0.609198670377599	-0.152136120675022 0.800701304164998 -0.370536674466256 -0.445459981558292	-0.0408826828846565 0.974079373353875 0.215379231982421 -0.0557652855936071	0.417032389772898 0.822615943051164 0.315255599492135 0.223608817149962	0.529855137780651 0.16135818610914 0.821917309028816 -0.132924812814784	0.489158889757084 0.0584693817470395 0.861677654877724 -0.121723173858395	-0.0365269409880196 0.909950499935997 0.404734405802855 -0.0827401414532019	-0.0391964909058848 0.938538520686613 0.340304546387467 -0.0424487455182139	-0.0801815518021619 0.938062138149268 0.335631195384629 -0.031016840685455	-0.0603087155508893 0.935199021121669 0.339505013755925 -0.0806349512076666	-0.0603463082001897 0.977590064798885 0.192469023982203 -0.0602632815274514	-0.0495804198900782 0.989879341514797 0.0862752258122652 -0.101179328999542	-0.0426721848625295 0.990592718029373 0.085247587060842 -0.098173318811896	-0.0423863264178723 0.990526144340981 0.0852970376605136 -0.0989230613968742
400	170145.973692700	-0.0292842939394669 0.953010502139127 0.256745342174232 -0.158098836848448	-0.0229432311786183 0.965568588319061 0.210355892524995 -0.151331780781938	-0.0201064369169966 0.970409026407642 0.189570011522795 -0.148206826402572	-0.0172601167641139 0.974790188480349 0.168694319161094 -0.145011735713047	-0.0151199415384372 0.977773392512053 0.152984615399034 -0.142570290434418	-0.0725905517403896 0.972718696689443 0.217973958386637 0.0321916506889157	-0.10771886873236 0.928845656131727 0.350736493963558 0.0512474800004181	-0.0667616456350998 0.94317906985211 0.300227102228103 -0.125776833927074	-0.563816095699986 0.794452512266443 -0.126433279834937 -0.18700599384336	-0.212598788568344 0.574379011648948 -0.560079125719061 -0.557854711381218	-0.151924803600669 0.811534884622409 -0.405035257229304 -0.392780378192424	-0.0400364650859293 0.974606013246966 0.213134523026679 -0.055802110179342	0.423191143826921 0.823180324774309 0.308203646738901 0.219758778727422	0.535047853469923 0.164712036507523 0.816301367744993 -0.14228779478376	0.496364861708478 0.0860864300893752 0.850286321390848 -0.152394954874531	-0.0359698922378898 0.910354239559937 0.404102123400893 -0.0816259715441893	-0.0388897827420028 0.938481237943831 0.340439063239687 -0.0429161396933496	-0.0804694042997993 0.937956186373596 0.335833113312018 -0.0312887746371298	-0.060327417171329 0.93512024803389 0.339721923299264 -0.0806209605767739	-0.0602681094306477 0.977903178467541 0.190866957264346 -0.060356715892983	-0.0496253367504787 0.989935257432366 0.0852185954211732 -0.101505187252471	-0.0427501430385006 0.990695589026314 0.0842639741156936 -0.0979502823897028	-0.0424461915958229 0.990638463332674 0.0843128130739815 -0.0986159486920882
450	170146.041892700	-0.028762766111368 0.954046326451253 0.253419008592984 -0.157312162130715	-0.0224273088958092 0.9664587174945 0.206591860698012 -0.15091178313144	-0.0195931510844503 0.971223720864842 0.185611967622057 -0.147948605723411	-0.0167495927794314 0.975522856826578 0.164543023091901 -0.144914459259292	-0.0146115752815239 0.978440231608901 0.148688966666124 -0.142593149304838	-0.0717332213669284 0.97354682132088 0.214561192984264 0.0320066573309977	-0.107304759558844 0.929664688160032 0.348792760186858 0.050525900343901	-0.0657612221013561 0.944307970002575 0.297255145468873 -0.124889142641109	-0.561555353509444 0.796869428827831 -0.122576927897853 -0.186090287472544	0.208612660082299 -0.598036525041544 0.610940831866935 0.474957232524529	-0.152003898728626 0.818089080527267 -0.458363593377888 -0.312294552240444	-0.0395091866333668 0.975528171106802 0.209342275334496 -0.0544024200414253	0.430161187056495 0.821178530507557 0.303161484034135 0.220726728743525	0.552308115923217 0.173061080448818 0.799104986243872 -0.162594060406324	0.513418593658429 0.142948340866888 0.820816996187251 -0.205491066227567	-0.0351736658693996 0.911600878791909 0.401669860112647 -0.0800498250604858	-0.0386956786988527 0.938784238160693 0.339537242196124 -0.0436034378568197	-0.0806504818953438 0.938143882240299 0.335230632311721 -0.0316540541642417	-0.0602761701600626 0.935335953279606 0.339127583617236 -0.0806592824373031	-0.0600863850883339 0.978366231518592 0.188376081802924 -0.060857170125663	-0.0497084805456929 0.990040818561816 0.0836854442489341 -0.101710328699435	-0.0427819480207341 0.990863110598275 0.0826231129960557 -0.0976392450703241	-0.0425612284832011 0.990822057824728 0.0826585450212349 -0.0981211317349389
