0	170849.096102300	-0.00385821701632721 0.981113921648672 0.0499851624684185 -0.186820958250472	-0.083452478901312 0.975542212000768 0.175706131010246 -0.102373980557975	-0.11817954928919 0.963849594317127 0.230144094071822 -0.0637279344430212	-0.152221207314856 0.94656693874733 0.283247307670289 -0.0247122886768576	-0.177183725988618 0.92999557631613 0.322013163584676 0.00465593765088422	-0.262319334978021 0.904279955597642 0.258746924751928 0.215676510850013	-0.323533414477657 0.868710827371506 0.207418840821073 0.312482083640622	-0.248448200266026 0.949557562854127 0.18902231649767 -0.0297403846134824	0.761783818582765 -0.623584954506905 0.0305200224105108 0.172903864879142	0.54286899940378 -0.457816130014768 0.470529338218769 0.523736367326204	0.246441462445004 -0.532626113969915 0.452213035648869 0.671624447659933	-0.118994542442302 0.945930385086281 0.296631740204215 0.0553680064918866	0.505387721904773 0.720096358777629 0.386684229560886 0.276622109080253	0.734922674869829 0.216792457630953 0.642436708286966 0.0128362035631933	0.627070467806124 0.380547385302725 0.60721226456658 -0.305384318039733	0.0339669058317614 0.945811194966642 0.250973131253467 -0.203223817926981	0.065141980284378 0.985464406954256 0.133501138062836 -0.0824249426257233	-0.0167709300647945 0.984775707046467 0.135278986870125 -0.107866298848555	-0.0143139717220675 0.983580701719503 0.13552065946821 -0.118314260661224	0.0315623905892849 0.988617497817608 -0.0944387794372968 -0.112785528537726	0.067842279195292 0.988259937185508 0.0526300227119298 -0.126371683604463	0.0135063507020735 0.979263969215478 0.10346152894613 -0.173653013550552	0.010281206895249 0.981291383357143 0.103207431831095 -0.162202785884313
50	170849.187847600	-0.00573806592727221 0.980477634058221 0.0569077189084947 -0.188128135162285	-0.0825130475521806 0.973560318269753 0.182743069059132 -0.109438907089745	-0.116020458021745 0.961706311993582 0.237234443141024 -0.0733487680857433	-0.148885691922537 0.944529205498596 0.290412662234083 -0.0368526296897613	-0.173003577094778 0.928209190024277 0.329257207780791 -0.00933557664437722	-0.264267492265713 0.903872981277192 0.264387351188207 0.208028014412376	-0.333483062435484 0.863226172201878 0.208745340237288 0.316314725587609	-0.249559697166737 0.947717906757882 0.196575322562494 -0.030147459593757	0.739626479068689 -0.64112530690951 0.0238624193637944 0.203326331897143	0.414145577036565 -0.56258004640882 0.405574490674351 0.589488307702487	0.293878187364862 -0.5507063968443 0.589373704294621 0.512832050628613	-0.123380210799666 0.943419212512075 0.302797947112437 0.0552350999874093	0.499302205962625 0.721091166077049 0.391637251211824 0.278109871794845	0.738632871045343 0.205923773874405 0.641732900540662 0.013991623504987	0.637274842226754 0.371096989224073 0.602687981780418 -0.304852417853526	0.0376172760837971 0.944941792529339 0.25523721491557 -0.201305522511476	0.0666827734560235 0.984981086733135 0.136417723815136 -0.0821941064269381	-0.0149614372522635 0.986165069837562 0.124861409367181 -0.108001105913154	-0.0148137821556108 0.986154702083174 0.124881416212172 -0.108092956765623	0.032033337583536 0.989045134735881 -0.089261049117016 -0.113119635117301	0.0686490857328145 0.98800009997669 0.0554863267109592 -0.126745307693122	0.0155823622487569 0.980487801140826 0.0886758346772492 -0.174749701416254	0.015476192753128 0.980520967671682 0.088664019441868 -0.174578953687063
100	170849.191857200	-0.00528130837621162 0.980330484504044 0.0575847372424319 -0.18870147580404	-0.0818512451222086 0.973765000793443 0.181421210103085 -0.110310658716296	-0.115285859257991 0.962249449573614 0.235062499939559 -0.0743692716959698	-0.148095660051595 0.945518842585423 0.287429827118325 -0.0380248375740641	-0.17218585423555 0.929602002955333 0.325698255956123 -0.0106204411276635	-0.263488456720358 0.904991589445357 0.262325727603695 0.206758963156333	-0.333520611219015 0.863588486270269 0.2094050854156 0.314846690431399	-0.253688435852714 0.948016692609888 0.190006661091501 -0.0283548371265197	0.741882045993036 -0.638782757865159 0.0217542068463766 0.202717469824023	0.449458027919725 -0.535854073690494 0.39551329162248 0.595329428970016	0.336853167695673 -0.52705509059467 0.570486159205595 0.532248454245274	-0.123282096520008 0.94373115867107 0.302086570626801 0.0540067465964152	0.499592095273306 0.720504981834463 0.392484234502973 0.277914438557558	0.742415604089366 0.204599817655728 0.637809732732055 0.0125191953466849	0.645382819334866 0.369972584656627 0.597246076019162 -0.299830665192185	0.0393097876643772 0.945285601095457 0.254643891536603 -0.200115870081502	0.0664073226768119 0.984959161114644 0.136472813487582 -0.0825874664220804	-0.0155797045795389 0.986182981815678 0.125080798788573 -0.107495083407403	-0.0152079492561823 0.986147040784658 0.125130324893694 -0.10781991477961	0.0321530561315043 0.989106712391581 -0.0879068385081465 -0.113606690942154	0.0684301043847431 0.988025669239 0.0551457979358385 -0.126813006859464	0.0160414336525116 0.980953442217709 0.0839919935908069 -0.174408605350316	0.0161035548571468 0.980928419719182 0.0839984173429244 -0.174540473220609
150	170849.208901600	-0.00521014748774118 0.980387871725058 0.0561810113182796 -0.188828412334646	-0.0824930975906617 0.973671901843733 0.181253796311071 -0.110927804146346	-0.116232573024358 0.961982075955463 0.235430616821467 -0.0751857644213272	-0.14933418739375 0.94501328754564 0.288315377704819 -0.0390311390630217	-0.173632402126033 0.928877280461509 0.326956269485256 -0.0117636991911723	-0.264471984585255 0.905154324575335 0.261036756689151 0.206421970074204	-0.333775882961862 0.864514332812267 0.203581483504758 0.315853142914857	-0.25284767258048 0.947844873872386 0.191910828874863 -0.0287816487546863	0.7474051882633 -0.630317045975765 0.0260488785340081 0.20834433526402	0.426788509715596 -0.554119310561063 0.380905400738518 0.604743278859964	-0.326315781307466 0.568601216346804 -0.564535102094073 -0.501508510538224	-0.123762147307306 0.943961710083033 0.301212039214019 0.0537636329086167	0.498641420389356 0.722809620034911 0.390794960502652 0.276011387270168	0.739922441397717 0.204825752951026 0.640643433169648 0.0117125223881657	0.64431699586844 0.367369622364275 0.60056004786309 -0.298701855216337	0.0399777946588047 0.945611207184582 0.253873021734137 -0.19942344299684	0.0661685282190066 0.984998403614207 0.13646582679524 -0.082322225843852	-0.0157133015759269 0.986233098788453 0.125056254207894 -0.107043450482501	-0.0155979309313642 0.986207909018057 0.125070345653949 -0.107275688666607	0.0318618280542565 0.988926666084778 -0.0903467614299403 -0.113341676882817	0.0678041235288391 0.988122804165996 0.0540096111323562 -0.126881388016314	0.0159086620402384 0.980807328388917 0.0862515833746596 -0.174139494130565	0.0158186506359551 0.980791015093733 0.0862372709766171 -0.174246630090705
200	170849.298640200	0.0113525110241799 0.978384202694389 0.0206861443114375 -0.205444775657684	-0.0588118249264593 0.979788094992809 0.14796851150613 -0.121085828080097	-0.0895795401703899 0.971503697768289 0.203407605308627 -0.0823493613090692	-0.119846563949417 0.957789293925043 0.257709761800961 -0.0431526155010173	-0.142116359311389 0.943985024337948 0.297507427465501 -0.0135847283601348	-0.199093068765194 0.941339405696411 0.226654998929537 0.151226931176418	-0.226568672699953 0.949600041208534 0.149454653910254 0.156811047800525	-0.214903012124532 0.961942034861529 0.161791328491039 -0.0480393897897213	0.719454877468325 -0.665576685220244 0.0626893225695611 0.188314641528581	0.517490964727578 -0.518560985315659 0.321123556747319 0.600147704515917	-0.402762521565752 0.544208978910192 -0.50457515971853 -0.535745132213577	-0.0754707357762406 0.957939095866471 0.275158056388834 0.0307392364290306	0.540575798670347 0.713052563746532 0.378611275540687 0.236616460247102	0.749185804621762 0.186143155888406 0.634791605988757 -0.0333312561323819	0.641065260524764 0.361171182458629 0.569815916163224 -0.365924214007242	0.031662283797108 0.952726792201356 0.223941816748391 -0.202877356838793	0.0617431866441644 0.99020325839612 0.110889308477656 -0.0582138061810008	-0.0127804994974283 0.991232709659577 0.10504814384563 -0.0791154953730044	-0.00945074307535445 0.988116768920354 0.105223634671857 -0.111641932714218	0.0240868646258317 0.987246690036038 -0.0962180709881663 -0.124522603493101	0.0560879187716804 0.989860186509032 0.0523960017980855 -0.119522447798477	0.0147350172086568 0.980789216638992 0.0779668961560448 -0.17820368934544	0.0162823433041742 0.98078700217974 0.0781860087399583 -0.177985082771334
250	170849.354790600	0.0188874176354668 0.976908544146817 -0.0139984179604059 -0.212360556889965	-0.0306806871137258 0.983624580660639 0.102905340064196 -0.144747610497318	-0.0525675697227725 0.980054076821174 0.154320536503724 -0.113647829424242	-0.0742387971746834 0.97246289638333 0.205102641956382 -0.0820818031862886	-0.0902971686755716 0.964149049994446 0.242648338801989 -0.0581791577853929	-0.101592794423818 0.976693278749338 0.177452620125657 0.0652664613531853	-0.0641378391978935 0.994326678597231 0.0836864771981931 -0.0140487489471214	-0.16196345327448 0.976702663592407 0.108087660207738 -0.0902042374044578	0.700739154408101 -0.685589326955891 0.1260889492931 0.151767879044778	0.602715097725225 -0.546474910632153 0.263695330236779 0.518232048251523	-0.398959207270321 0.6012355869243 -0.471328079827386 -0.507146094450366	-0.0207292535749434 0.973707884300378 0.226540142960655 -0.0119506370070198	0.588806160193564 0.70090157524693 0.36562037528244 0.168422174053212	0.741474565822237 0.17529753985142 0.636436654854407 -0.120144184705288	0.642589566223459 0.340424217186805 0.551105885854458 -0.40923380152435	0.0189935294579978 0.966896166975126 0.189582733216215 -0.169733424503856	0.0551572130221678 0.992895265167841 0.0792651882670015 -0.0695248458315906	-0.013324939664001 0.993403073930412 0.0689360896291288 -0.090667492714883	-0.00448374025109309 0.990984350501265 0.0699207790646071 -0.11419718818756	0.0156486422402561 0.98193549611416 -0.125089773461405 -0.141104039780756	0.0392527771294757 0.992953154596544 0.0331225083670217 -0.106799586627812	0.0132248352642212 0.983873387080295 0.0677027022988515 -0.165029106610974	0.0127926493309183 0.982998924584308 0.0675594712349553 -0.170250345772464
300	170849.384368100	0.0198242199628005 0.977101300004913 -0.0191598886473956 -0.210980919750093	-0.0285639622047664 0.984290318118169 0.096341990063883 -0.145171934865279	-0.0499433765799221 0.981140275627856 0.147192601546121 -0.114907600822465	-0.071124570502018 0.974096377667584 0.19745898932613 -0.0841872319303719	-0.0868297882058098 0.966274346780998 0.234655301307658 -0.0609209668447803	-0.0955818380689297 0.978509162451094 0.172140943181072 0.0612488931439117	-0.0552850995702564 0.994901499921062 0.0817117048532244 -0.0209227271240609	-0.159393819144815 0.9782397737176 0.0977542863066349 -0.0899147098313111	0.697707941394836 -0.689241134967029 0.136693578621522 0.139517568598311	0.607180562685194 -0.551700807937893 0.269422415483937 0.504350616984621	-0.397473900053028 0.591419334371742 -0.482083721399017 -0.509738124206926	-0.0177031380484975 0.975197052543836 0.220110885592787 -0.0151164035606608	0.591377875096734 0.701606165346903 0.363334074514748 0.161274138936774	0.743415525072514 0.173205944988567 0.633511798949667 -0.126474733814042	0.645015458439535 0.336747328049633 0.548692354918179 -0.411695269683552	0.0169078209157874 0.968088458659979 0.188628452881695 -0.164128512345308	0.0518576699379246 0.992671837654382 0.0820465401985498 -0.0719845124865658	-0.0150413383675175 0.993098441039909 0.0709270281018619 -0.0921878583591873	-0.00839502354524293 0.991727769672459 0.0717152828799825 -0.10612479748677	0.0143643324428022 0.98115138409805 -0.129705059038439 -0.142520963706355	0.0367395286455017 0.992958564266104 0.0321946907053915 -0.107921261000267	0.0142416364651265 0.984339168194996 0.0640047055049779 -0.163636717827022	0.0136345052648581 0.98362983048628 0.0638523608698904 -0.16795634211025
350	170849.453552900	0.0225721424869248 0.978410984233095 -0.0292716287729524 -0.203336214345983	-0.0240565354123267 0.985844431608653 0.0851537406764768 -0.142410955403617	-0.0446860380487554 0.983120248507074 0.135617960146077 -0.11439188723293	-0.0651473180299081 0.976694896039088 0.185571685579179 -0.0859421696026327	-0.080336508164332 0.969461031082531 0.22258866867919 -0.0643866387069891	-0.0857202545749015 0.981237801303297 0.163472592739119 0.0556877605245094	-0.04220103419863 0.995682929091107 0.0765914949565446 -0.0311178458354872	-0.155314425971341 0.980275512107592 0.0821529794736977 -0.0904888800405075	0.69814023921907 -0.688658131568766 0.143849339515693 0.132881720820639	0.617697752207945 -0.551035260412857 0.269778371157879 0.491964692995737	-0.389558131391748 0.576523401377768 -0.487409820602889 -0.527538526280534	-0.011924402539724 0.977575520346223 0.209623582633784 -0.0161822201091172	0.593690266237742 0.701707786769506 0.362425156743793 0.154227285267031	0.737948534305406 0.174932624233699 0.636762082833142 -0.139156701459951	0.638182216318311 0.331130615241171 0.549636170515835 -0.425412804797575	0.0160953241655461 0.968075896801089 0.19339190922012 -0.158649197984012	0.0467722956706443 0.992224898265263 0.087849927479437 -0.0747294711746524	-0.0184620371895615 0.992493766358325 0.0773644727663646 -0.0928978755207074	-0.014306910156214 0.991997009425529 0.0778977400063841 -0.0983320279181082	0.0133753004208018 0.980061134571717 -0.135022377568819 -0.145155886536905	0.0314885920760337 0.993002082999152 0.031276616171966 -0.1094399607513	0.0142729010965718 0.984340581585156 0.0702322029920245 -0.161050741698916	0.0134576987811758 0.983823844734313 0.0700675817372288 -0.164316970715769
400	170849.497669200	0.023690444796194 0.97844809176301 -0.0365576646528135 -0.201845563998361	-0.0216093560091739 0.986495234913765 0.0776812431121916 -0.142568621000025	-0.0416632250385848 0.98415273968866 0.128114577143845 -0.115300545384415	-0.0615631646819398 0.978174076190519 0.178074595076735 -0.0876064610141629	-0.0763428409462756 0.971316631330483 0.215122838552231 -0.0666178404805023	-0.0806112174138535 0.982756403062808 0.157513994925754 0.0536751829865361	-0.0370391462980232 0.996163685607871 0.072014902477161 -0.0331642418707408	-0.153176567224523 0.981443796222047 0.0731833158213854 -0.0891583781590681	0.70154203489653 -0.685512959666967 0.145630867725412 0.129237787691582	0.635117108690256 -0.533648636214519 0.249488210352014 0.499600864901836	-0.413954656032717 0.564539761955421 -0.467863487455396 -0.539481377830807	-0.00839305669068958 0.978967376282057 0.203207486539406 -0.0160981424129829	0.597715556983201 0.699277339269827 0.36203656486107 0.150588317699512	0.734709938471731 0.176610689977671 0.637408491120725 -0.150732829681118	0.632084736336655 0.329199626799045 0.549108186483252 -0.436550903495417	0.0142606940716368 0.969393899356681 0.188613652601655 -0.156515144784478	0.0430935120103316 0.992148581544785 0.0898080452895731 -0.0756217981970367	-0.0201888880436609 0.992316118640472 0.0799284322825154 -0.0922636179581613	-0.0172283365590586 0.99204236562644 0.0803172765224874 -0.0954162686008821	0.0117822871231507 0.978171160701925 -0.149050001650626 -0.144313738393632	0.0280384943528711 0.992960417857487 0.0240137796434407 -0.112546833762412	0.0149348238275307 0.9846716632144 0.0676749878097532 -0.160058622775463	0.0143399689502847 0.98431095665535 0.0675564436753251 -0.162365121921789
450	170849.547803200	0.0244067684642935 0.978348574122259 -0.0405624728235732 -0.201477202096194	-0.0203972599431999 0.986786219586675 0.0735081417277593 -0.142945660026389	-0.0402381602397538 0.984668199580375 0.123894353999317 -0.116015586206144	-0.0599317101912221 0.978944170353934 0.173826897318553 -0.0886606519951695	-0.0745617476972811 0.972296831233562 0.210868435584006 -0.0679258465376348	-0.0780984479986092 0.983577471166451 0.153926227080183 0.0527513720283979	-0.0343635816261319 0.996459449860657 0.068976672578376 -0.0336143969340017	-0.151710398138797 0.981980943508627 0.0691550601129031 -0.0889660572536225	0.702292857641366 -0.685013629664266 0.144296660311525 0.129304072260125	0.640638370861617 -0.531314757300153 0.240737723983562 0.499332008493414	-0.417882817275807 0.563692667243621 -0.460134678094687 -0.543967467718525	-0.00618007452328516 0.979722508902246 0.199553880812843 -0.0168481714648385	0.600362315030213 0.697665039772141 0.361644145657557 0.148465803749267	0.735306005807437 0.177223055848348 0.63507712987066 -0.156825079035628	0.631326024106603 0.329650776791015 0.544052365884845 -0.443581829905072	0.0135592500904257 0.969915538350558 0.187153141237501 -0.155092543109166	0.0409017597144785 0.992150710643041 0.0901954896268645 -0.0763464935261533	-0.0208012779577668 0.992224989225157 0.0809463819490471 -0.0922201758934543	-0.0185852762217312 0.992054087258163 0.0812411826695899 -0.094250441381362	0.0117811500849696 0.976796704342094 -0.157893554105436 -0.14421868277395	0.0259131014289662 0.992938393506229 0.0201420243961627 -0.114000687405061	0.0156795365037999 0.985177200867314 0.0610386496793573 -0.159544095069641	0.0154328822166972 0.984888728511507 0.0609765443483047 -0.161362571982516
